EPOCH=001,Accuracy= 91.190%
EPOCH=002,Accuracy= 93.890%
EPOCH=003,Accuracy= 95.310%
EPOCH=004,Accuracy= 95.580%
EPOCH=005,Accuracy= 95.930%
EPOCH=006,Accuracy= 96.260%
EPOCH=007,Accuracy= 96.390%
EPOCH=008,Accuracy= 96.360%
EPOCH=009,Accuracy= 96.830%
EPOCH=010,Accuracy= 96.770%
EPOCH=011,Accuracy= 96.730%
EPOCH=012,Accuracy= 97.060%
EPOCH=013,Accuracy= 97.120%
EPOCH=014,Accuracy= 97.290%
EPOCH=015,Accuracy= 97.440%
EPOCH=016,Accuracy= 97.430%
EPOCH=017,Accuracy= 97.620%
EPOCH=018,Accuracy= 97.800%
EPOCH=019,Accuracy= 97.800%
EPOCH=020,Accuracy= 97.740%
EPOCH=021,Accuracy= 97.990%
EPOCH=022,Accuracy= 98.030%
EPOCH=023,Accuracy= 98.090%
EPOCH=024,Accuracy= 98.270%
EPOCH=025,Accuracy= 98.280%
EPOCH=026,Accuracy= 98.200%
EPOCH=027,Accuracy= 98.270%
EPOCH=028,Accuracy= 98.400%
EPOCH=029,Accuracy= 98.450%
EPOCH=030,Accuracy= 98.440%
EPOCH=031,Accuracy= 98.430%
EPOCH=032,Accuracy= 98.530%
EPOCH=033,Accuracy= 98.450%
EPOCH=034,Accuracy= 98.490%
EPOCH=035,Accuracy= 98.620%
EPOCH=036,Accuracy= 98.620%
EPOCH=037,Accuracy= 98.610%
EPOCH=038,Accuracy= 98.500%
EPOCH=039,Accuracy= 98.600%
EPOCH=040,Accuracy= 98.600%
EPOCH=041,Accuracy= 98.640%
EPOCH=042,Accuracy= 98.720%
EPOCH=043,Accuracy= 98.700%
EPOCH=044,Accuracy= 98.610%
EPOCH=045,Accuracy= 98.660%
EPOCH=046,Accuracy= 98.650%
EPOCH=047,Accuracy= 98.740%
EPOCH=048,Accuracy= 98.810%
EPOCH=049,Accuracy= 98.770%
EPOCH=050,Accuracy= 98.670%
