EPOCH=001,Accuracy= 94.030%
EPOCH=002,Accuracy= 96.590%
EPOCH=003,Accuracy= 97.320%
EPOCH=004,Accuracy= 97.880%
EPOCH=005,Accuracy= 98.140%
EPOCH=006,Accuracy= 98.330%
EPOCH=007,Accuracy= 98.610%
EPOCH=008,Accuracy= 98.610%
EPOCH=009,Accuracy= 98.720%
EPOCH=010,Accuracy= 98.810%
EPOCH=011,Accuracy= 98.810%
EPOCH=012,Accuracy= 98.860%
EPOCH=013,Accuracy= 98.860%
EPOCH=014,Accuracy= 98.810%
EPOCH=015,Accuracy= 98.830%
EPOCH=016,Accuracy= 98.930%
EPOCH=017,Accuracy= 98.920%
EPOCH=018,Accuracy= 98.950%
EPOCH=019,Accuracy= 98.970%
EPOCH=020,Accuracy= 98.930%
EPOCH=021,Accuracy= 98.980%
EPOCH=022,Accuracy= 98.990%
EPOCH=023,Accuracy= 99.000%
EPOCH=024,Accuracy= 99.050%
EPOCH=025,Accuracy= 98.940%
EPOCH=026,Accuracy= 99.080%
EPOCH=027,Accuracy= 99.010%
EPOCH=028,Accuracy= 99.030%
EPOCH=029,Accuracy= 98.970%
EPOCH=030,Accuracy= 98.980%
EPOCH=031,Accuracy= 98.940%
EPOCH=032,Accuracy= 99.020%
EPOCH=033,Accuracy= 99.000%
EPOCH=034,Accuracy= 98.970%
EPOCH=035,Accuracy= 99.030%
EPOCH=036,Accuracy= 99.080%
EPOCH=037,Accuracy= 99.060%
EPOCH=038,Accuracy= 99.000%
EPOCH=039,Accuracy= 99.050%
EPOCH=040,Accuracy= 99.050%
EPOCH=041,Accuracy= 99.000%
EPOCH=042,Accuracy= 99.100%
EPOCH=043,Accuracy= 98.950%
EPOCH=044,Accuracy= 99.060%
EPOCH=045,Accuracy= 99.100%
EPOCH=046,Accuracy= 99.040%
EPOCH=047,Accuracy= 98.990%
EPOCH=048,Accuracy= 99.010%
EPOCH=049,Accuracy= 99.090%
EPOCH=050,Accuracy= 99.120%
