EPOCH=001,Accuracy= 94.630%
EPOCH=002,Accuracy= 96.030%
EPOCH=003,Accuracy= 96.630%
EPOCH=004,Accuracy= 97.030%
EPOCH=005,Accuracy= 97.320%
EPOCH=006,Accuracy= 97.610%
EPOCH=007,Accuracy= 97.710%
EPOCH=008,Accuracy= 97.920%
EPOCH=009,Accuracy= 97.930%
EPOCH=010,Accuracy= 98.010%
EPOCH=011,Accuracy= 98.070%
EPOCH=012,Accuracy= 98.130%
EPOCH=013,Accuracy= 98.200%
EPOCH=014,Accuracy= 98.300%
EPOCH=015,Accuracy= 98.280%
EPOCH=016,Accuracy= 98.240%
EPOCH=017,Accuracy= 98.240%
EPOCH=018,Accuracy= 98.330%
EPOCH=019,Accuracy= 98.340%
EPOCH=020,Accuracy= 98.420%
EPOCH=021,Accuracy= 98.460%
EPOCH=022,Accuracy= 98.380%
EPOCH=023,Accuracy= 98.440%
EPOCH=024,Accuracy= 98.450%
EPOCH=025,Accuracy= 98.530%
EPOCH=026,Accuracy= 98.540%
EPOCH=027,Accuracy= 98.520%
EPOCH=028,Accuracy= 98.500%
EPOCH=029,Accuracy= 98.510%
EPOCH=030,Accuracy= 98.540%
EPOCH=031,Accuracy= 98.580%
EPOCH=032,Accuracy= 98.560%
EPOCH=033,Accuracy= 98.640%
EPOCH=034,Accuracy= 98.630%
EPOCH=035,Accuracy= 98.620%
EPOCH=036,Accuracy= 98.650%
EPOCH=037,Accuracy= 98.600%
EPOCH=038,Accuracy= 98.630%
EPOCH=039,Accuracy= 98.610%
EPOCH=040,Accuracy= 98.650%
EPOCH=041,Accuracy= 98.630%
EPOCH=042,Accuracy= 98.680%
EPOCH=043,Accuracy= 98.620%
EPOCH=044,Accuracy= 98.670%
EPOCH=045,Accuracy= 98.720%
EPOCH=046,Accuracy= 98.640%
EPOCH=047,Accuracy= 98.700%
EPOCH=048,Accuracy= 98.680%
EPOCH=049,Accuracy= 98.720%
EPOCH=050,Accuracy= 98.680%
