EPOCH=001,Accuracy= 97.970%
EPOCH=002,Accuracy= 98.220%
EPOCH=003,Accuracy= 98.480%
EPOCH=004,Accuracy= 98.260%
EPOCH=005,Accuracy= 98.410%
EPOCH=006,Accuracy= 98.440%
EPOCH=007,Accuracy= 98.580%
EPOCH=008,Accuracy= 98.340%
EPOCH=009,Accuracy= 98.360%
EPOCH=010,Accuracy= 98.820%
EPOCH=011,Accuracy= 98.440%
EPOCH=012,Accuracy= 98.760%
EPOCH=013,Accuracy= 98.560%
EPOCH=014,Accuracy= 98.210%
EPOCH=015,Accuracy= 98.580%
EPOCH=016,Accuracy= 98.650%
EPOCH=017,Accuracy= 98.570%
EPOCH=018,Accuracy= 98.570%
EPOCH=019,Accuracy= 98.570%
EPOCH=020,Accuracy= 98.490%
EPOCH=021,Accuracy= 98.560%
EPOCH=022,Accuracy= 98.500%
EPOCH=023,Accuracy= 98.670%
EPOCH=024,Accuracy= 97.960%
EPOCH=025,Accuracy= 98.730%
EPOCH=026,Accuracy= 98.560%
EPOCH=027,Accuracy= 98.690%
EPOCH=028,Accuracy= 98.450%
EPOCH=029,Accuracy= 98.640%
EPOCH=030,Accuracy= 98.530%
EPOCH=031,Accuracy= 98.650%
EPOCH=032,Accuracy= 98.640%
EPOCH=033,Accuracy= 98.690%
EPOCH=034,Accuracy= 98.240%
EPOCH=035,Accuracy= 98.820%
EPOCH=036,Accuracy= 98.830%
EPOCH=037,Accuracy= 98.550%
EPOCH=038,Accuracy= 98.780%
EPOCH=039,Accuracy= 98.820%
EPOCH=040,Accuracy= 98.870%
EPOCH=041,Accuracy= 98.800%
EPOCH=042,Accuracy= 98.800%
EPOCH=043,Accuracy= 98.730%
EPOCH=044,Accuracy= 98.690%
EPOCH=045,Accuracy= 98.600%
EPOCH=046,Accuracy= 98.760%
EPOCH=047,Accuracy= 98.560%
EPOCH=048,Accuracy= 98.790%
EPOCH=049,Accuracy= 98.810%
EPOCH=050,Accuracy= 98.730%
