EPOCH=001,Accuracy= 96.280%
EPOCH=002,Accuracy= 97.240%
EPOCH=003,Accuracy= 97.350%
EPOCH=004,Accuracy= 98.190%
EPOCH=005,Accuracy= 97.980%
EPOCH=006,Accuracy= 98.150%
EPOCH=007,Accuracy= 97.970%
EPOCH=008,Accuracy= 98.460%
EPOCH=009,Accuracy= 98.520%
EPOCH=010,Accuracy= 98.410%
EPOCH=011,Accuracy= 94.980%
EPOCH=012,Accuracy= 98.310%
EPOCH=013,Accuracy= 98.110%
EPOCH=014,Accuracy= 98.230%
EPOCH=015,Accuracy= 98.150%
EPOCH=016,Accuracy= 98.420%
EPOCH=017,Accuracy= 98.410%
EPOCH=018,Accuracy= 98.360%
EPOCH=019,Accuracy= 98.570%
EPOCH=020,Accuracy= 97.740%
EPOCH=021,Accuracy= 98.450%
EPOCH=022,Accuracy= 98.470%
EPOCH=023,Accuracy= 98.060%
EPOCH=024,Accuracy= 98.200%
EPOCH=025,Accuracy= 98.200%
EPOCH=026,Accuracy= 98.570%
EPOCH=027,Accuracy= 98.420%
EPOCH=028,Accuracy= 98.440%
EPOCH=029,Accuracy= 98.370%
EPOCH=030,Accuracy= 98.470%
EPOCH=031,Accuracy= 98.460%
EPOCH=032,Accuracy= 98.650%
EPOCH=033,Accuracy= 98.440%
EPOCH=034,Accuracy= 98.420%
EPOCH=035,Accuracy= 98.480%
EPOCH=036,Accuracy= 98.590%
EPOCH=037,Accuracy= 98.580%
EPOCH=038,Accuracy= 98.230%
EPOCH=039,Accuracy= 98.130%
EPOCH=040,Accuracy= 98.470%
EPOCH=041,Accuracy= 98.690%
EPOCH=042,Accuracy= 98.420%
EPOCH=043,Accuracy= 98.330%
EPOCH=044,Accuracy= 98.680%
EPOCH=045,Accuracy= 98.380%
EPOCH=046,Accuracy= 98.310%
EPOCH=047,Accuracy= 98.640%
EPOCH=048,Accuracy= 98.710%
EPOCH=049,Accuracy= 98.360%
EPOCH=050,Accuracy= 98.460%
