001  00001 |Loss: 2.308 | Acc: 7.812% 
001  00002 |Loss: 2.305 | Acc: 7.422% 
001  00003 |Loss: 2.306 | Acc: 7.292% 
001  00004 |Loss: 2.306 | Acc: 8.203% 
001  00005 |Loss: 2.305 | Acc: 8.438% 
001  00006 |Loss: 2.305 | Acc: 8.333% 
001  00007 |Loss: 2.305 | Acc: 8.036% 
001  00008 |Loss: 2.305 | Acc: 8.496% 
001  00009 |Loss: 2.305 | Acc: 9.201% 
001  00010 |Loss: 2.305 | Acc: 9.531% 
001  00011 |Loss: 2.304 | Acc: 9.446% 
001  00012 |Loss: 2.305 | Acc: 9.440% 
001  00013 |Loss: 2.305 | Acc: 9.856% 
001  00014 |Loss: 2.304 | Acc: 9.821% 
001  00015 |Loss: 2.304 | Acc: 9.531% 
001  00016 |Loss: 2.304 | Acc: 9.717% 
001  00017 |Loss: 2.304 | Acc: 9.835% 
001  00018 |Loss: 2.304 | Acc: 9.896% 
001  00019 |Loss: 2.304 | Acc: 9.992% 
001  00020 |Loss: 2.303 | Acc: 10.234% 
001  00021 |Loss: 2.303 | Acc: 10.268% 
001  00022 |Loss: 2.302 | Acc: 10.263% 
001  00023 |Loss: 2.302 | Acc: 10.496% 
001  00024 |Loss: 2.302 | Acc: 10.612% 
001  00025 |Loss: 2.302 | Acc: 10.656% 
001  00026 |Loss: 2.302 | Acc: 10.577% 
001  00027 |Loss: 2.301 | Acc: 10.880% 
001  00028 |Loss: 2.301 | Acc: 10.770% 
001  00029 |Loss: 2.301 | Acc: 10.830% 
001  00030 |Loss: 2.300 | Acc: 11.094% 
001  00031 |Loss: 2.300 | Acc: 11.290% 
001  00032 |Loss: 2.299 | Acc: 11.304% 
001  00033 |Loss: 2.299 | Acc: 11.364% 
001  00034 |Loss: 2.299 | Acc: 11.466% 
001  00035 |Loss: 2.298 | Acc: 11.496% 
001  00036 |Loss: 2.298 | Acc: 11.393% 
001  00037 |Loss: 2.298 | Acc: 11.339% 
001  00038 |Loss: 2.298 | Acc: 11.431% 
001  00039 |Loss: 2.297 | Acc: 11.679% 
001  00040 |Loss: 2.297 | Acc: 11.699% 
001  00041 |Loss: 2.297 | Acc: 11.928% 
001  00042 |Loss: 2.296 | Acc: 11.979% 
001  00043 |Loss: 2.296 | Acc: 12.028% 
001  00044 |Loss: 2.296 | Acc: 12.216% 
001  00045 |Loss: 2.295 | Acc: 12.309% 
001  00046 |Loss: 2.295 | Acc: 12.347% 
001  00047 |Loss: 2.295 | Acc: 12.517% 
001  00048 |Loss: 2.295 | Acc: 12.630% 
001  00049 |Loss: 2.294 | Acc: 12.659% 
001  00050 |Loss: 2.294 | Acc: 12.766% 
001  00051 |Loss: 2.293 | Acc: 12.944% 
001  00052 |Loss: 2.293 | Acc: 13.116% 
001  00053 |Loss: 2.293 | Acc: 13.134% 
001  00054 |Loss: 2.292 | Acc: 13.339% 
001  00055 |Loss: 2.292 | Acc: 13.509% 
001  00056 |Loss: 2.291 | Acc: 13.588% 
001  00057 |Loss: 2.291 | Acc: 13.706% 
001  00058 |Loss: 2.291 | Acc: 13.901% 
001  00059 |Loss: 2.290 | Acc: 14.036% 
001  00060 |Loss: 2.290 | Acc: 14.180% 
001  00061 |Loss: 2.289 | Acc: 14.306% 
001  00062 |Loss: 2.289 | Acc: 14.504% 
001  00063 |Loss: 2.288 | Acc: 14.720% 
001  00064 |Loss: 2.288 | Acc: 14.990% 
001  00065 |Loss: 2.287 | Acc: 15.108% 
001  00066 |Loss: 2.287 | Acc: 15.199% 
