001  00001 |Loss: 2.304 | Acc: 9.375% 
001  00002 |Loss: 2.304 | Acc: 8.984% 
001  00003 |Loss: 2.302 | Acc: 9.375% 
001  00004 |Loss: 2.302 | Acc: 9.570% 
001  00005 |Loss: 2.304 | Acc: 9.062% 
001  00006 |Loss: 2.303 | Acc: 9.115% 
001  00007 |Loss: 2.303 | Acc: 9.152% 
001  00008 |Loss: 2.303 | Acc: 9.277% 
001  00009 |Loss: 2.302 | Acc: 9.983% 
001  00010 |Loss: 2.302 | Acc: 10.156% 
001  00011 |Loss: 2.301 | Acc: 10.724% 
001  00012 |Loss: 2.300 | Acc: 11.328% 
001  00013 |Loss: 2.299 | Acc: 11.899% 
001  00014 |Loss: 2.298 | Acc: 12.500% 
001  00015 |Loss: 2.298 | Acc: 12.240% 
001  00016 |Loss: 2.297 | Acc: 12.402% 
001  00017 |Loss: 2.297 | Acc: 12.316% 
001  00018 |Loss: 2.296 | Acc: 12.760% 
001  00019 |Loss: 2.295 | Acc: 13.076% 
001  00020 |Loss: 2.295 | Acc: 12.930% 
001  00021 |Loss: 2.294 | Acc: 13.132% 
001  00022 |Loss: 2.292 | Acc: 13.565% 
001  00023 |Loss: 2.291 | Acc: 13.859% 
001  00024 |Loss: 2.290 | Acc: 13.965% 
001  00025 |Loss: 2.289 | Acc: 14.062% 
001  00026 |Loss: 2.288 | Acc: 14.123% 
001  00027 |Loss: 2.287 | Acc: 14.352% 
001  00028 |Loss: 2.285 | Acc: 14.788% 
001  00029 |Loss: 2.284 | Acc: 15.005% 
001  00030 |Loss: 2.282 | Acc: 15.443% 
001  00031 |Loss: 2.281 | Acc: 15.625% 
001  00032 |Loss: 2.279 | Acc: 16.016% 
001  00033 |Loss: 2.277 | Acc: 16.477% 
001  00034 |Loss: 2.275 | Acc: 17.119% 
001  00035 |Loss: 2.272 | Acc: 17.812% 
001  00036 |Loss: 2.269 | Acc: 18.446% 
001  00037 |Loss: 2.267 | Acc: 18.940% 
001  00038 |Loss: 2.264 | Acc: 19.387% 
001  00039 |Loss: 2.261 | Acc: 19.952% 
001  00040 |Loss: 2.256 | Acc: 20.605% 
001  00041 |Loss: 2.253 | Acc: 20.865% 
001  00042 |Loss: 2.250 | Acc: 21.168% 
001  00043 |Loss: 2.244 | Acc: 21.602% 
001  00044 |Loss: 2.240 | Acc: 21.822% 
001  00045 |Loss: 2.233 | Acc: 22.448% 
001  00046 |Loss: 2.226 | Acc: 22.894% 
001  00047 |Loss: 2.219 | Acc: 23.338% 
001  00048 |Loss: 2.209 | Acc: 23.893% 
001  00049 |Loss: 2.199 | Acc: 24.442% 
001  00050 |Loss: 2.189 | Acc: 24.844% 
001  00051 |Loss: 2.176 | Acc: 25.506% 
001  00052 |Loss: 2.165 | Acc: 25.931% 
001  00053 |Loss: 2.154 | Acc: 26.371% 
001  00054 |Loss: 2.141 | Acc: 26.895% 
001  00055 |Loss: 2.126 | Acc: 27.443% 
001  00056 |Loss: 2.115 | Acc: 27.874% 
001  00057 |Loss: 2.099 | Acc: 28.427% 
001  00058 |Loss: 2.082 | Acc: 29.001% 
001  00059 |Loss: 2.066 | Acc: 29.529% 
001  00060 |Loss: 2.051 | Acc: 30.117% 
001  00061 |Loss: 2.035 | Acc: 30.622% 
001  00062 |Loss: 2.015 | Acc: 31.300% 
001  00063 |Loss: 1.997 | Acc: 31.944% 
001  00064 |Loss: 1.980 | Acc: 32.532% 
001  00065 |Loss: 1.962 | Acc: 33.173% 
001  00066 |Loss: 1.946 | Acc: 33.688% 
001  00067 |Loss: 1.934 | Acc: 34.142% 
001  00068 |Loss: 1.919 | Acc: 34.639% 
001  00069 |Loss: 1.905 | Acc: 35.111% 
001  00070 |Loss: 1.889 | Acc: 35.636% 
001  00071 |Loss: 1.874 | Acc: 36.147% 
001  00072 |Loss: 1.859 | Acc: 36.643% 
001  00073 |Loss: 1.844 | Acc: 37.179% 
001  00074 |Loss: 1.832 | Acc: 37.637% 
001  00075 |Loss: 1.817 | Acc: 38.188% 
001  00076 |Loss: 1.803 | Acc: 38.600% 
001  00077 |Loss: 1.789 | Acc: 39.123% 
001  00078 |Loss: 1.777 | Acc: 39.533% 
001  00079 |Loss: 1.766 | Acc: 39.864% 
001  00080 |Loss: 1.754 | Acc: 40.264% 
001  00081 |Loss: 1.742 | Acc: 40.702% 
001  00082 |Loss: 1.732 | Acc: 41.063% 
001  00083 |Loss: 1.720 | Acc: 41.500% 
001  00084 |Loss: 1.706 | Acc: 41.936% 
001  00085 |Loss: 1.695 | Acc: 42.344% 
001  00086 |Loss: 1.682 | Acc: 42.778% 
001  00087 |Loss: 1.670 | Acc: 43.202% 
001  00088 |Loss: 1.658 | Acc: 43.635% 
001  00089 |Loss: 1.646 | Acc: 44.057% 
001  00090 |Loss: 1.635 | Acc: 44.453% 
001  00091 |Loss: 1.624 | Acc: 44.832% 
001  00092 |Loss: 1.613 | Acc: 45.245% 
001  00093 |Loss: 1.604 | Acc: 45.598% 
001  00094 |Loss: 1.596 | Acc: 45.919% 
