001  00001 |Loss: 2.291 | Acc: 14.844% 
001  00002 |Loss: 2.459 | Acc: 15.234% 
001  00003 |Loss: 2.505 | Acc: 13.802% 
001  00004 |Loss: 2.468 | Acc: 12.500% 
001  00005 |Loss: 2.423 | Acc: 12.812% 
001  00006 |Loss: 2.379 | Acc: 15.625% 
001  00007 |Loss: 2.354 | Acc: 15.848% 
001  00008 |Loss: 2.323 | Acc: 17.676% 
001  00009 |Loss: 2.288 | Acc: 19.878% 
001  00010 |Loss: 2.258 | Acc: 22.266% 
001  00011 |Loss: 2.228 | Acc: 23.935% 
001  00012 |Loss: 2.198 | Acc: 26.302% 
001  00013 |Loss: 2.163 | Acc: 28.305% 
001  00014 |Loss: 2.132 | Acc: 28.962% 
001  00015 |Loss: 2.096 | Acc: 30.938% 
001  00016 |Loss: 2.063 | Acc: 32.471% 
001  00017 |Loss: 2.027 | Acc: 33.961% 
001  00018 |Loss: 1.993 | Acc: 35.460% 
001  00019 |Loss: 1.966 | Acc: 36.431% 
001  00020 |Loss: 1.928 | Acc: 38.086% 
001  00021 |Loss: 1.898 | Acc: 39.174% 
001  00022 |Loss: 1.862 | Acc: 40.341% 
001  00023 |Loss: 1.829 | Acc: 41.406% 
001  00024 |Loss: 1.803 | Acc: 42.285% 
001  00025 |Loss: 1.775 | Acc: 43.094% 
001  00026 |Loss: 1.750 | Acc: 43.960% 
001  00027 |Loss: 1.725 | Acc: 44.647% 
001  00028 |Loss: 1.696 | Acc: 45.703% 
001  00029 |Loss: 1.671 | Acc: 46.606% 
001  00030 |Loss: 1.642 | Acc: 47.552% 
001  00031 |Loss: 1.620 | Acc: 48.412% 
001  00032 |Loss: 1.594 | Acc: 49.292% 
001  00033 |Loss: 1.574 | Acc: 49.905% 
001  00034 |Loss: 1.551 | Acc: 50.643% 
001  00035 |Loss: 1.530 | Acc: 51.429% 
001  00036 |Loss: 1.507 | Acc: 52.170% 
001  00037 |Loss: 1.485 | Acc: 52.872% 
001  00038 |Loss: 1.464 | Acc: 53.598% 
001  00039 |Loss: 1.445 | Acc: 54.187% 
001  00040 |Loss: 1.426 | Acc: 54.902% 
001  00041 |Loss: 1.414 | Acc: 55.373% 
001  00042 |Loss: 1.400 | Acc: 55.785% 
001  00043 |Loss: 1.383 | Acc: 56.232% 
001  00044 |Loss: 1.368 | Acc: 56.676% 
001  00045 |Loss: 1.353 | Acc: 57.170% 
001  00046 |Loss: 1.340 | Acc: 57.575% 
001  00047 |Loss: 1.325 | Acc: 57.995% 
001  00048 |Loss: 1.311 | Acc: 58.398% 
001  00049 |Loss: 1.301 | Acc: 58.769% 
001  00050 |Loss: 1.289 | Acc: 59.125% 
001  00051 |Loss: 1.282 | Acc: 59.406% 
001  00052 |Loss: 1.269 | Acc: 59.766% 
001  00053 |Loss: 1.259 | Acc: 60.127% 
001  00054 |Loss: 1.249 | Acc: 60.402% 
001  00055 |Loss: 1.236 | Acc: 60.952% 
001  00056 |Loss: 1.225 | Acc: 61.328% 
001  00057 |Loss: 1.217 | Acc: 61.623% 
001  00058 |Loss: 1.209 | Acc: 61.840% 
001  00059 |Loss: 1.198 | Acc: 62.169% 
001  00060 |Loss: 1.189 | Acc: 62.461% 
001  00061 |Loss: 1.180 | Acc: 62.795% 
001  00062 |Loss: 1.170 | Acc: 63.067% 
001  00063 |Loss: 1.163 | Acc: 63.294% 
001  00064 |Loss: 1.154 | Acc: 63.611% 
001  00065 |Loss: 1.147 | Acc: 63.822% 
001  00066 |Loss: 1.137 | Acc: 64.145% 
001  00067 |Loss: 1.128 | Acc: 64.412% 
001  00068 |Loss: 1.122 | Acc: 64.637% 
001  00069 |Loss: 1.113 | Acc: 64.968% 
001  00070 |Loss: 1.104 | Acc: 65.301% 
001  00071 |Loss: 1.095 | Acc: 65.592% 
001  00072 |Loss: 1.089 | Acc: 65.788% 
001  00073 |Loss: 1.083 | Acc: 65.967% 
001  00074 |Loss: 1.078 | Acc: 66.163% 
001  00075 |Loss: 1.070 | Acc: 66.385% 
001  00076 |Loss: 1.064 | Acc: 66.581% 
001  00077 |Loss: 1.056 | Acc: 66.843% 
001  00078 |Loss: 1.050 | Acc: 67.057% 
001  00079 |Loss: 1.045 | Acc: 67.207% 
001  00080 |Loss: 1.040 | Acc: 67.393% 
001  00081 |Loss: 1.034 | Acc: 67.544% 
001  00082 |Loss: 1.029 | Acc: 67.712% 
001  00083 |Loss: 1.024 | Acc: 67.903% 
001  00084 |Loss: 1.018 | Acc: 68.071% 
001  00085 |Loss: 1.011 | Acc: 68.281% 
001  00086 |Loss: 1.006 | Acc: 68.477% 
001  00087 |Loss: 1.000 | Acc: 68.642% 
001  00088 |Loss: 0.995 | Acc: 68.794% 
001  00089 |Loss: 0.990 | Acc: 68.934% 
001  00090 |Loss: 0.984 | Acc: 69.123% 
001  00091 |Loss: 0.979 | Acc: 69.334% 
001  00092 |Loss: 0.974 | Acc: 69.489% 
001  00093 |Loss: 0.969 | Acc: 69.640% 
001  00094 |Loss: 0.964 | Acc: 69.806% 
001  00095 |Loss: 0.960 | Acc: 69.967% 
001  00096 |Loss: 0.955 | Acc: 70.117% 
001  00097 |Loss: 0.950 | Acc: 70.304% 
001  00098 |Loss: 0.945 | Acc: 70.408% 
001  00099 |Loss: 0.943 | Acc: 70.470% 
001  00100 |Loss: 0.938 | Acc: 70.641% 
001  00101 |Loss: 0.934 | Acc: 70.800% 
001  00102 |Loss: 0.931 | Acc: 70.902% 
001  00103 |Loss: 0.926 | Acc: 71.071% 
001  00104 |Loss: 0.923 | Acc: 71.191% 
001  00105 |Loss: 0.920 | Acc: 71.324% 
001  00106 |Loss: 0.915 | Acc: 71.440% 
001  00107 |Loss: 0.914 | Acc: 71.525% 
001  00108 |Loss: 0.911 | Acc: 71.564% 
001  00109 |Loss: 0.908 | Acc: 71.653% 
001  00110 |Loss: 0.904 | Acc: 71.818% 
001  00111 |Loss: 0.900 | Acc: 71.945% 
001  00112 |Loss: 0.897 | Acc: 72.049% 
001  00113 |Loss: 0.894 | Acc: 72.165% 
001  00114 |Loss: 0.890 | Acc: 72.272% 
001  00115 |Loss: 0.887 | Acc: 72.364% 
001  00116 |Loss: 0.884 | Acc: 72.414% 
001  00117 |Loss: 0.881 | Acc: 72.489% 
001  00118 |Loss: 0.879 | Acc: 72.564% 
001  00119 |Loss: 0.875 | Acc: 72.676% 
001  00120 |Loss: 0.872 | Acc: 72.780% 
001  00121 |Loss: 0.870 | Acc: 72.856% 
001  00122 |Loss: 0.867 | Acc: 72.938% 
001  00123 |Loss: 0.864 | Acc: 73.044% 
001  00124 |Loss: 0.861 | Acc: 73.129% 
001  00125 |Loss: 0.858 | Acc: 73.219% 
001  00126 |Loss: 0.855 | Acc: 73.313% 
001  00127 |Loss: 0.852 | Acc: 73.407% 
001  00128 |Loss: 0.849 | Acc: 73.529% 
001  00129 |Loss: 0.845 | Acc: 73.631% 
001  00130 |Loss: 0.843 | Acc: 73.726% 
001  00131 |Loss: 0.842 | Acc: 73.777% 
001  00132 |Loss: 0.839 | Acc: 73.870% 
001  00133 |Loss: 0.837 | Acc: 73.913% 
001  00134 |Loss: 0.835 | Acc: 73.997% 
001  00135 |Loss: 0.831 | Acc: 74.126% 
001  00136 |Loss: 0.828 | Acc: 74.236% 
001  00137 |Loss: 0.825 | Acc: 74.321% 
001  00138 |Loss: 0.823 | Acc: 74.389% 
001  00139 |Loss: 0.820 | Acc: 74.466% 
001  00140 |Loss: 0.818 | Acc: 74.548% 
001  00141 |Loss: 0.815 | Acc: 74.673% 
001  00142 |Loss: 0.813 | Acc: 74.752% 
001  00143 |Loss: 0.811 | Acc: 74.820% 
001  00144 |Loss: 0.809 | Acc: 74.902% 
001  00145 |Loss: 0.806 | Acc: 74.995% 
001  00146 |Loss: 0.803 | Acc: 75.112% 
001  00147 |Loss: 0.801 | Acc: 75.170% 
001  00148 |Loss: 0.799 | Acc: 75.216% 
001  00149 |Loss: 0.797 | Acc: 75.299% 
001  00150 |Loss: 0.793 | Acc: 75.417% 
001  00151 |Loss: 0.791 | Acc: 75.502% 
001  00152 |Loss: 0.788 | Acc: 75.591% 
001  00153 |Loss: 0.785 | Acc: 75.654% 
001  00154 |Loss: 0.784 | Acc: 75.695% 
001  00155 |Loss: 0.781 | Acc: 75.786% 
001  00156 |Loss: 0.779 | Acc: 75.876% 
001  00157 |Loss: 0.777 | Acc: 75.936% 
001  00158 |Loss: 0.774 | Acc: 76.009% 
001  00159 |Loss: 0.772 | Acc: 76.047% 
001  00160 |Loss: 0.771 | Acc: 76.094% 
001  00161 |Loss: 0.769 | Acc: 76.169% 
001  00162 |Loss: 0.768 | Acc: 76.210% 
001  00163 |Loss: 0.766 | Acc: 76.294% 
001  00164 |Loss: 0.764 | Acc: 76.348% 
001  00165 |Loss: 0.762 | Acc: 76.397% 
001  00166 |Loss: 0.761 | Acc: 76.454% 
001  00167 |Loss: 0.759 | Acc: 76.520% 
001  00168 |Loss: 0.757 | Acc: 76.595% 
001  00169 |Loss: 0.754 | Acc: 76.664% 
001  00170 |Loss: 0.752 | Acc: 76.714% 
001  00171 |Loss: 0.750 | Acc: 76.759% 
001  00172 |Loss: 0.748 | Acc: 76.830% 
001  00173 |Loss: 0.746 | Acc: 76.888% 
001  00174 |Loss: 0.744 | Acc: 76.976% 
001  00175 |Loss: 0.742 | Acc: 77.027% 
001  00176 |Loss: 0.740 | Acc: 77.077% 
001  00177 |Loss: 0.739 | Acc: 77.101% 
001  00178 |Loss: 0.737 | Acc: 77.151% 
001  00179 |Loss: 0.736 | Acc: 77.187% 
001  00180 |Loss: 0.734 | Acc: 77.261% 
001  00181 |Loss: 0.732 | Acc: 77.326% 
001  00182 |Loss: 0.731 | Acc: 77.391% 
001  00183 |Loss: 0.729 | Acc: 77.433% 
001  00184 |Loss: 0.727 | Acc: 77.488% 
001  00185 |Loss: 0.726 | Acc: 77.534% 
001  00186 |Loss: 0.724 | Acc: 77.613% 
001  00187 |Loss: 0.721 | Acc: 77.691% 
001  00188 |Loss: 0.720 | Acc: 77.755% 
001  00189 |Loss: 0.719 | Acc: 77.790% 
001  00190 |Loss: 0.718 | Acc: 77.817% 
001  00191 |Loss: 0.716 | Acc: 77.875% 
001  00192 |Loss: 0.714 | Acc: 77.934% 
001  00193 |Loss: 0.713 | Acc: 77.975% 
001  00194 |Loss: 0.712 | Acc: 78.000% 
001  00195 |Loss: 0.711 | Acc: 78.021% 
001  00196 |Loss: 0.709 | Acc: 78.085% 
001  00197 |Loss: 0.708 | Acc: 78.129% 
001  00198 |Loss: 0.706 | Acc: 78.176% 
001  00199 |Loss: 0.704 | Acc: 78.239% 
001  00200 |Loss: 0.703 | Acc: 78.293% 
001  00201 |Loss: 0.701 | Acc: 78.347% 
001  00202 |Loss: 0.699 | Acc: 78.407% 
001  00203 |Loss: 0.699 | Acc: 78.421% 
001  00204 |Loss: 0.697 | Acc: 78.489% 
001  00205 |Loss: 0.696 | Acc: 78.525% 
001  00206 |Loss: 0.695 | Acc: 78.542% 
001  00207 |Loss: 0.694 | Acc: 78.582% 
001  00208 |Loss: 0.693 | Acc: 78.613% 
001  00209 |Loss: 0.691 | Acc: 78.667% 
001  00210 |Loss: 0.689 | Acc: 78.731% 
001  00211 |Loss: 0.688 | Acc: 78.769% 
001  00212 |Loss: 0.687 | Acc: 78.829% 
001  00213 |Loss: 0.685 | Acc: 78.884% 
001  00214 |Loss: 0.684 | Acc: 78.925% 
001  00215 |Loss: 0.683 | Acc: 78.957% 
001  00216 |Loss: 0.682 | Acc: 79.004% 
001  00217 |Loss: 0.681 | Acc: 79.032% 
001  00218 |Loss: 0.679 | Acc: 79.078% 
001  00219 |Loss: 0.679 | Acc: 79.092% 
001  00220 |Loss: 0.677 | Acc: 79.134% 
001  00221 |Loss: 0.676 | Acc: 79.154% 
001  00222 |Loss: 0.675 | Acc: 79.198% 
001  00223 |Loss: 0.674 | Acc: 79.225% 
001  00224 |Loss: 0.673 | Acc: 79.259% 
001  00225 |Loss: 0.672 | Acc: 79.306% 
001  00226 |Loss: 0.670 | Acc: 79.338% 
001  00227 |Loss: 0.670 | Acc: 79.364% 
001  00228 |Loss: 0.669 | Acc: 79.420% 
001  00229 |Loss: 0.667 | Acc: 79.469% 
001  00230 |Loss: 0.667 | Acc: 79.474% 
001  00231 |Loss: 0.666 | Acc: 79.501% 
001  00232 |Loss: 0.665 | Acc: 79.539% 
001  00233 |Loss: 0.663 | Acc: 79.590% 
001  00234 |Loss: 0.662 | Acc: 79.641% 
001  00235 |Loss: 0.660 | Acc: 79.691% 
001  00236 |Loss: 0.660 | Acc: 79.694% 
001  00237 |Loss: 0.659 | Acc: 79.711% 
001  00238 |Loss: 0.658 | Acc: 79.747% 
001  00239 |Loss: 0.657 | Acc: 79.779% 
001  00240 |Loss: 0.656 | Acc: 79.805% 
001  00241 |Loss: 0.654 | Acc: 79.856% 
001  00242 |Loss: 0.653 | Acc: 79.878% 
001  00243 |Loss: 0.652 | Acc: 79.913% 
001  00244 |Loss: 0.652 | Acc: 79.940% 
001  00245 |Loss: 0.651 | Acc: 79.965% 
001  00246 |Loss: 0.650 | Acc: 80.011% 
001  00247 |Loss: 0.648 | Acc: 80.061% 
001  00248 |Loss: 0.648 | Acc: 80.081% 
001  00249 |Loss: 0.647 | Acc: 80.092% 
001  00250 |Loss: 0.646 | Acc: 80.134% 
001  00251 |Loss: 0.644 | Acc: 80.170% 
001  00252 |Loss: 0.643 | Acc: 80.211% 
001  00253 |Loss: 0.642 | Acc: 80.243% 
001  00254 |Loss: 0.641 | Acc: 80.278% 
001  00255 |Loss: 0.640 | Acc: 80.309% 
001  00256 |Loss: 0.639 | Acc: 80.362% 
001  00257 |Loss: 0.637 | Acc: 80.399% 
001  00258 |Loss: 0.636 | Acc: 80.432% 
001  00259 |Loss: 0.635 | Acc: 80.466% 
001  00260 |Loss: 0.633 | Acc: 80.514% 
001  00261 |Loss: 0.633 | Acc: 80.520% 
001  00262 |Loss: 0.633 | Acc: 80.540% 
001  00263 |Loss: 0.632 | Acc: 80.552% 
001  00264 |Loss: 0.631 | Acc: 80.593% 
001  00265 |Loss: 0.630 | Acc: 80.637% 
001  00266 |Loss: 0.629 | Acc: 80.663% 
001  00267 |Loss: 0.628 | Acc: 80.688% 
001  00268 |Loss: 0.627 | Acc: 80.725% 
001  00269 |Loss: 0.625 | Acc: 80.771% 
001  00270 |Loss: 0.625 | Acc: 80.796% 
001  00271 |Loss: 0.624 | Acc: 80.832% 
001  00272 |Loss: 0.623 | Acc: 80.857% 
001  00273 |Loss: 0.622 | Acc: 80.889% 
001  00274 |Loss: 0.621 | Acc: 80.916% 
001  00275 |Loss: 0.620 | Acc: 80.935% 
001  00276 |Loss: 0.620 | Acc: 80.970% 
001  00277 |Loss: 0.619 | Acc: 80.982% 
001  00278 |Loss: 0.618 | Acc: 81.011% 
001  00279 |Loss: 0.617 | Acc: 81.051% 
001  00280 |Loss: 0.616 | Acc: 81.085% 
001  00281 |Loss: 0.615 | Acc: 81.117% 
001  00282 |Loss: 0.614 | Acc: 81.147% 
001  00283 |Loss: 0.613 | Acc: 81.170% 
001  00284 |Loss: 0.613 | Acc: 81.200% 
001  00285 |Loss: 0.612 | Acc: 81.220% 
001  00286 |Loss: 0.611 | Acc: 81.250% 
001  00287 |Loss: 0.610 | Acc: 81.274% 
001  00288 |Loss: 0.609 | Acc: 81.304% 
001  00289 |Loss: 0.609 | Acc: 81.328% 
001  00290 |Loss: 0.608 | Acc: 81.358% 
001  00291 |Loss: 0.607 | Acc: 81.398% 
001  00292 |Loss: 0.606 | Acc: 81.421% 
001  00293 |Loss: 0.605 | Acc: 81.450% 
001  00294 |Loss: 0.605 | Acc: 81.479% 
001  00295 |Loss: 0.604 | Acc: 81.499% 
001  00296 |Loss: 0.603 | Acc: 81.519% 
001  00297 |Loss: 0.602 | Acc: 81.542% 
001  00298 |Loss: 0.601 | Acc: 81.578% 
001  00299 |Loss: 0.601 | Acc: 81.587% 
001  00300 |Loss: 0.600 | Acc: 81.612% 
001  00301 |Loss: 0.599 | Acc: 81.632% 
001  00302 |Loss: 0.598 | Acc: 81.654% 
001  00303 |Loss: 0.598 | Acc: 81.665% 
001  00304 |Loss: 0.597 | Acc: 81.695% 
001  00305 |Loss: 0.596 | Acc: 81.734% 
001  00306 |Loss: 0.596 | Acc: 81.758% 
001  00307 |Loss: 0.595 | Acc: 81.777% 
001  00308 |Loss: 0.594 | Acc: 81.803% 
001  00309 |Loss: 0.593 | Acc: 81.821% 
001  00310 |Loss: 0.593 | Acc: 81.832% 
001  00311 |Loss: 0.592 | Acc: 81.853% 
001  00312 |Loss: 0.592 | Acc: 81.858% 
001  00313 |Loss: 0.591 | Acc: 81.889% 
001  00314 |Loss: 0.590 | Acc: 81.904% 
001  00315 |Loss: 0.589 | Acc: 81.930% 
001  00316 |Loss: 0.589 | Acc: 81.937% 
001  00317 |Loss: 0.588 | Acc: 81.957% 
001  00318 |Loss: 0.587 | Acc: 81.970% 
001  00319 |Loss: 0.587 | Acc: 81.990% 
001  00320 |Loss: 0.586 | Acc: 82.004% 
001  00321 |Loss: 0.586 | Acc: 82.017% 
001  00322 |Loss: 0.585 | Acc: 82.046% 
001  00323 |Loss: 0.584 | Acc: 82.060% 
001  00324 |Loss: 0.584 | Acc: 82.087% 
001  00325 |Loss: 0.583 | Acc: 82.113% 
001  00326 |Loss: 0.582 | Acc: 82.139% 
001  00327 |Loss: 0.582 | Acc: 82.144% 
001  00328 |Loss: 0.581 | Acc: 82.169% 
001  00329 |Loss: 0.581 | Acc: 82.193% 
001  00330 |Loss: 0.581 | Acc: 82.214% 
001  00331 |Loss: 0.580 | Acc: 82.222% 
001  00332 |Loss: 0.579 | Acc: 82.250% 
001  00333 |Loss: 0.579 | Acc: 82.273% 
001  00334 |Loss: 0.578 | Acc: 82.298% 
001  00335 |Loss: 0.577 | Acc: 82.318% 
001  00336 |Loss: 0.576 | Acc: 82.352% 
001  00337 |Loss: 0.575 | Acc: 82.379% 
001  00338 |Loss: 0.575 | Acc: 82.394% 
001  00339 |Loss: 0.574 | Acc: 82.414% 
001  00340 |Loss: 0.574 | Acc: 82.436% 
001  00341 |Loss: 0.573 | Acc: 82.464% 
001  00342 |Loss: 0.572 | Acc: 82.486% 
001  00343 |Loss: 0.572 | Acc: 82.485% 
001  00344 |Loss: 0.572 | Acc: 82.495% 
001  00345 |Loss: 0.571 | Acc: 82.520% 
001  00346 |Loss: 0.570 | Acc: 82.560% 
001  00347 |Loss: 0.569 | Acc: 82.563% 
001  00348 |Loss: 0.569 | Acc: 82.572% 
001  00349 |Loss: 0.569 | Acc: 82.580% 
001  00350 |Loss: 0.568 | Acc: 82.603% 
001  00351 |Loss: 0.567 | Acc: 82.641% 
001  00352 |Loss: 0.566 | Acc: 82.666% 
001  00353 |Loss: 0.565 | Acc: 82.686% 
001  00354 |Loss: 0.565 | Acc: 82.715% 
001  00355 |Loss: 0.564 | Acc: 82.729% 
001  00356 |Loss: 0.563 | Acc: 82.755% 
001  00357 |Loss: 0.563 | Acc: 82.782% 
001  00358 |Loss: 0.562 | Acc: 82.799% 
001  00359 |Loss: 0.561 | Acc: 82.819% 
001  00360 |Loss: 0.561 | Acc: 82.836% 
001  00361 |Loss: 0.560 | Acc: 82.851% 
001  00362 |Loss: 0.559 | Acc: 82.879% 
001  00363 |Loss: 0.559 | Acc: 82.899% 
001  00364 |Loss: 0.559 | Acc: 82.900% 
001  00365 |Loss: 0.559 | Acc: 82.915% 
001  00366 |Loss: 0.558 | Acc: 82.932% 
001  00367 |Loss: 0.558 | Acc: 82.942% 
001  00368 |Loss: 0.557 | Acc: 82.959% 
001  00369 |Loss: 0.557 | Acc: 82.973% 
001  00370 |Loss: 0.556 | Acc: 82.996% 
001  00371 |Loss: 0.556 | Acc: 83.021% 
001  00372 |Loss: 0.555 | Acc: 83.035% 
001  00373 |Loss: 0.554 | Acc: 83.064% 
001  00374 |Loss: 0.554 | Acc: 83.078% 
001  00375 |Loss: 0.553 | Acc: 83.092% 
001  00376 |Loss: 0.553 | Acc: 83.099% 
001  00377 |Loss: 0.552 | Acc: 83.123% 
001  00378 |Loss: 0.552 | Acc: 83.135% 
001  00379 |Loss: 0.551 | Acc: 83.159% 
001  00380 |Loss: 0.551 | Acc: 83.181% 
001  00381 |Loss: 0.550 | Acc: 83.210% 
001  00382 |Loss: 0.549 | Acc: 83.234% 
001  00383 |Loss: 0.549 | Acc: 83.249% 
001  00384 |Loss: 0.549 | Acc: 83.268% 
001  00385 |Loss: 0.548 | Acc: 83.289% 
001  00386 |Loss: 0.547 | Acc: 83.310% 
001  00387 |Loss: 0.547 | Acc: 83.323% 
001  00388 |Loss: 0.546 | Acc: 83.342% 
001  00389 |Loss: 0.546 | Acc: 83.353% 
001  00390 |Loss: 0.545 | Acc: 83.377% 
001  00391 |Loss: 0.544 | Acc: 83.404% 
001  00392 |Loss: 0.544 | Acc: 83.424% 
001  00393 |Loss: 0.543 | Acc: 83.449% 
001  00394 |Loss: 0.542 | Acc: 83.467% 
001  00395 |Loss: 0.542 | Acc: 83.487% 
001  00396 |Loss: 0.541 | Acc: 83.503% 
001  00397 |Loss: 0.540 | Acc: 83.521% 
001  00398 |Loss: 0.540 | Acc: 83.533% 
001  00399 |Loss: 0.540 | Acc: 83.549% 
001  00400 |Loss: 0.539 | Acc: 83.568% 
001  00401 |Loss: 0.538 | Acc: 83.582% 
001  00402 |Loss: 0.538 | Acc: 83.598% 
001  00403 |Loss: 0.538 | Acc: 83.602% 
001  00404 |Loss: 0.537 | Acc: 83.621% 
001  00405 |Loss: 0.537 | Acc: 83.642% 
001  00406 |Loss: 0.536 | Acc: 83.651% 
