001  00001 |Loss: 2.289 | Acc: 14.844% 
001  00002 |Loss: 2.401 | Acc: 15.234% 
001  00003 |Loss: 2.345 | Acc: 16.406% 
001  00004 |Loss: 2.339 | Acc: 15.625% 
001  00005 |Loss: 2.322 | Acc: 15.469% 
001  00006 |Loss: 2.269 | Acc: 20.312% 
001  00007 |Loss: 2.213 | Acc: 23.661% 
001  00008 |Loss: 2.158 | Acc: 25.977% 
001  00009 |Loss: 2.081 | Acc: 29.340% 
001  00010 |Loss: 2.002 | Acc: 32.578% 
001  00011 |Loss: 1.932 | Acc: 35.298% 
001  00012 |Loss: 1.858 | Acc: 37.826% 
001  00013 |Loss: 1.792 | Acc: 40.264% 
001  00014 |Loss: 1.720 | Acc: 42.857% 
001  00015 |Loss: 1.656 | Acc: 44.896% 
001  00016 |Loss: 1.595 | Acc: 46.631% 
001  00017 |Loss: 1.543 | Acc: 48.346% 
001  00018 |Loss: 1.497 | Acc: 49.870% 
001  00019 |Loss: 1.470 | Acc: 50.740% 
001  00020 |Loss: 1.444 | Acc: 51.602% 
001  00021 |Loss: 1.417 | Acc: 52.716% 
001  00022 |Loss: 1.384 | Acc: 53.871% 
001  00023 |Loss: 1.350 | Acc: 55.027% 
001  00024 |Loss: 1.323 | Acc: 55.892% 
001  00025 |Loss: 1.294 | Acc: 56.719% 
001  00026 |Loss: 1.270 | Acc: 57.632% 
001  00027 |Loss: 1.247 | Acc: 58.362% 
001  00028 |Loss: 1.224 | Acc: 59.235% 
001  00029 |Loss: 1.201 | Acc: 60.102% 
001  00030 |Loss: 1.180 | Acc: 60.885% 
001  00031 |Loss: 1.159 | Acc: 61.542% 
001  00032 |Loss: 1.140 | Acc: 62.256% 
001  00033 |Loss: 1.118 | Acc: 62.997% 
001  00034 |Loss: 1.095 | Acc: 63.626% 
001  00035 |Loss: 1.076 | Acc: 64.241% 
001  00036 |Loss: 1.065 | Acc: 64.648% 
001  00037 |Loss: 1.050 | Acc: 65.245% 
001  00038 |Loss: 1.030 | Acc: 65.975% 
001  00039 |Loss: 1.016 | Acc: 66.506% 
001  00040 |Loss: 1.000 | Acc: 67.031% 
001  00041 |Loss: 0.985 | Acc: 67.550% 
001  00042 |Loss: 0.968 | Acc: 68.118% 
001  00043 |Loss: 0.955 | Acc: 68.586% 
001  00044 |Loss: 0.941 | Acc: 69.105% 
001  00045 |Loss: 0.934 | Acc: 69.375% 
001  00046 |Loss: 0.923 | Acc: 69.803% 
001  00047 |Loss: 0.917 | Acc: 70.030% 
001  00048 |Loss: 0.904 | Acc: 70.410% 
001  00049 |Loss: 0.892 | Acc: 70.823% 
001  00050 |Loss: 0.881 | Acc: 71.188% 
001  00051 |Loss: 0.874 | Acc: 71.400% 
001  00052 |Loss: 0.864 | Acc: 71.785% 
001  00053 |Loss: 0.855 | Acc: 72.096% 
001  00054 |Loss: 0.846 | Acc: 72.439% 
001  00055 |Loss: 0.840 | Acc: 72.685% 
001  00056 |Loss: 0.831 | Acc: 72.991% 
001  00057 |Loss: 0.823 | Acc: 73.287% 
001  00058 |Loss: 0.814 | Acc: 73.572% 
001  00059 |Loss: 0.806 | Acc: 73.835% 
001  00060 |Loss: 0.802 | Acc: 74.010% 
001  00061 |Loss: 0.794 | Acc: 74.347% 
001  00062 |Loss: 0.786 | Acc: 74.597% 
001  00063 |Loss: 0.778 | Acc: 74.888% 
001  00064 |Loss: 0.771 | Acc: 75.110% 
001  00065 |Loss: 0.764 | Acc: 75.373% 
001  00066 |Loss: 0.757 | Acc: 75.521% 
001  00067 |Loss: 0.753 | Acc: 75.700% 
001  00068 |Loss: 0.746 | Acc: 75.931% 
001  00069 |Loss: 0.740 | Acc: 76.087% 
001  00070 |Loss: 0.736 | Acc: 76.261% 
001  00071 |Loss: 0.728 | Acc: 76.496% 
001  00072 |Loss: 0.723 | Acc: 76.693% 
001  00073 |Loss: 0.716 | Acc: 76.884% 
001  00074 |Loss: 0.710 | Acc: 77.069% 
001  00075 |Loss: 0.703 | Acc: 77.292% 
001  00076 |Loss: 0.698 | Acc: 77.467% 
001  00077 |Loss: 0.691 | Acc: 77.699% 
001  00078 |Loss: 0.685 | Acc: 77.905% 
001  00079 |Loss: 0.679 | Acc: 78.105% 
001  00080 |Loss: 0.673 | Acc: 78.291% 
001  00081 |Loss: 0.667 | Acc: 78.482% 
001  00082 |Loss: 0.663 | Acc: 78.649% 
001  00083 |Loss: 0.657 | Acc: 78.822% 
001  00084 |Loss: 0.653 | Acc: 78.971% 
001  00085 |Loss: 0.646 | Acc: 79.182% 
001  00086 |Loss: 0.641 | Acc: 79.370% 
001  00087 |Loss: 0.635 | Acc: 79.562% 
001  00088 |Loss: 0.631 | Acc: 79.652% 
001  00089 |Loss: 0.628 | Acc: 79.793% 
001  00090 |Loss: 0.623 | Acc: 79.957% 
001  00091 |Loss: 0.618 | Acc: 80.117% 
001  00092 |Loss: 0.615 | Acc: 80.256% 
001  00093 |Loss: 0.612 | Acc: 80.326% 
001  00094 |Loss: 0.608 | Acc: 80.469% 
001  00095 |Loss: 0.604 | Acc: 80.600% 
001  00096 |Loss: 0.601 | Acc: 80.745% 
001  00097 |Loss: 0.597 | Acc: 80.888% 
001  00098 |Loss: 0.593 | Acc: 81.027% 
001  00099 |Loss: 0.592 | Acc: 81.108% 
001  00100 |Loss: 0.588 | Acc: 81.227% 
001  00101 |Loss: 0.585 | Acc: 81.320% 
001  00102 |Loss: 0.582 | Acc: 81.403% 
001  00103 |Loss: 0.579 | Acc: 81.455% 
001  00104 |Loss: 0.577 | Acc: 81.528% 
001  00105 |Loss: 0.574 | Acc: 81.585% 
001  00106 |Loss: 0.570 | Acc: 81.722% 
001  00107 |Loss: 0.568 | Acc: 81.805% 
001  00108 |Loss: 0.566 | Acc: 81.879% 
001  00109 |Loss: 0.563 | Acc: 81.981% 
001  00110 |Loss: 0.559 | Acc: 82.102% 
001  00111 |Loss: 0.557 | Acc: 82.193% 
001  00112 |Loss: 0.555 | Acc: 82.254% 
001  00113 |Loss: 0.552 | Acc: 82.370% 
001  00114 |Loss: 0.549 | Acc: 82.442% 
001  00115 |Loss: 0.545 | Acc: 82.561% 
001  00116 |Loss: 0.542 | Acc: 82.637% 
001  00117 |Loss: 0.540 | Acc: 82.732% 
001  00118 |Loss: 0.536 | Acc: 82.846% 
001  00119 |Loss: 0.534 | Acc: 82.950% 
001  00120 |Loss: 0.532 | Acc: 83.034% 
001  00121 |Loss: 0.529 | Acc: 83.090% 
001  00122 |Loss: 0.527 | Acc: 83.171% 
001  00123 |Loss: 0.526 | Acc: 83.225% 
001  00124 |Loss: 0.523 | Acc: 83.317% 
001  00125 |Loss: 0.521 | Acc: 83.400% 
001  00126 |Loss: 0.519 | Acc: 83.488% 
001  00127 |Loss: 0.516 | Acc: 83.594% 
001  00128 |Loss: 0.513 | Acc: 83.685% 
001  00129 |Loss: 0.511 | Acc: 83.788% 
001  00130 |Loss: 0.508 | Acc: 83.864% 
001  00131 |Loss: 0.507 | Acc: 83.934% 
001  00132 |Loss: 0.504 | Acc: 84.008% 
001  00133 |Loss: 0.502 | Acc: 84.081% 
001  00134 |Loss: 0.499 | Acc: 84.159% 
001  00135 |Loss: 0.497 | Acc: 84.219% 
001  00136 |Loss: 0.495 | Acc: 84.283% 
001  00137 |Loss: 0.493 | Acc: 84.358% 
001  00138 |Loss: 0.491 | Acc: 84.415% 
001  00139 |Loss: 0.490 | Acc: 84.437% 
001  00140 |Loss: 0.487 | Acc: 84.498% 
001  00141 |Loss: 0.487 | Acc: 84.536% 
001  00142 |Loss: 0.485 | Acc: 84.573% 
001  00143 |Loss: 0.483 | Acc: 84.648% 
001  00144 |Loss: 0.481 | Acc: 84.722% 
001  00145 |Loss: 0.479 | Acc: 84.790% 
001  00146 |Loss: 0.478 | Acc: 84.819% 
001  00147 |Loss: 0.477 | Acc: 84.832% 
001  00148 |Loss: 0.474 | Acc: 84.898% 
001  00149 |Loss: 0.473 | Acc: 84.947% 
001  00150 |Loss: 0.471 | Acc: 85.010% 
001  00151 |Loss: 0.469 | Acc: 85.073% 
001  00152 |Loss: 0.467 | Acc: 85.141% 
001  00153 |Loss: 0.465 | Acc: 85.197% 
001  00154 |Loss: 0.463 | Acc: 85.263% 
001  00155 |Loss: 0.461 | Acc: 85.338% 
001  00156 |Loss: 0.459 | Acc: 85.407% 
001  00157 |Loss: 0.457 | Acc: 85.475% 
001  00158 |Loss: 0.455 | Acc: 85.532% 
001  00159 |Loss: 0.453 | Acc: 85.564% 
001  00160 |Loss: 0.451 | Acc: 85.645% 
001  00161 |Loss: 0.449 | Acc: 85.719% 
001  00162 |Loss: 0.448 | Acc: 85.759% 
001  00163 |Loss: 0.446 | Acc: 85.813% 
001  00164 |Loss: 0.444 | Acc: 85.880% 
001  00165 |Loss: 0.443 | Acc: 85.928% 
001  00166 |Loss: 0.441 | Acc: 85.970% 
001  00167 |Loss: 0.439 | Acc: 86.040% 
001  00168 |Loss: 0.437 | Acc: 86.082% 
001  00169 |Loss: 0.436 | Acc: 86.136% 
001  00170 |Loss: 0.434 | Acc: 86.176% 
001  00171 |Loss: 0.433 | Acc: 86.225% 
001  00172 |Loss: 0.432 | Acc: 86.269% 
001  00173 |Loss: 0.430 | Acc: 86.317% 
001  00174 |Loss: 0.429 | Acc: 86.351% 
001  00175 |Loss: 0.427 | Acc: 86.406% 
001  00176 |Loss: 0.426 | Acc: 86.448% 
001  00177 |Loss: 0.424 | Acc: 86.489% 
001  00178 |Loss: 0.423 | Acc: 86.534% 
001  00179 |Loss: 0.421 | Acc: 86.588% 
001  00180 |Loss: 0.420 | Acc: 86.619% 
001  00181 |Loss: 0.418 | Acc: 86.663% 
001  00182 |Loss: 0.417 | Acc: 86.697% 
001  00183 |Loss: 0.416 | Acc: 86.749% 
001  00184 |Loss: 0.415 | Acc: 86.799% 
001  00185 |Loss: 0.413 | Acc: 86.850% 
001  00186 |Loss: 0.412 | Acc: 86.891% 
001  00187 |Loss: 0.410 | Acc: 86.949% 
001  00188 |Loss: 0.409 | Acc: 86.981% 
001  00189 |Loss: 0.408 | Acc: 87.012% 
001  00190 |Loss: 0.408 | Acc: 87.031% 
001  00191 |Loss: 0.407 | Acc: 87.050% 
001  00192 |Loss: 0.406 | Acc: 87.101% 
001  00193 |Loss: 0.405 | Acc: 87.132% 
001  00194 |Loss: 0.405 | Acc: 87.134% 
001  00195 |Loss: 0.404 | Acc: 87.167% 
001  00196 |Loss: 0.403 | Acc: 87.201% 
001  00197 |Loss: 0.402 | Acc: 87.222% 
001  00198 |Loss: 0.401 | Acc: 87.251% 
001  00199 |Loss: 0.400 | Acc: 87.284% 
001  00200 |Loss: 0.399 | Acc: 87.309% 
001  00201 |Loss: 0.398 | Acc: 87.352% 
001  00202 |Loss: 0.397 | Acc: 87.384% 
001  00203 |Loss: 0.396 | Acc: 87.419% 
001  00204 |Loss: 0.395 | Acc: 87.458% 
001  00205 |Loss: 0.394 | Acc: 87.473% 
001  00206 |Loss: 0.393 | Acc: 87.504% 
001  00207 |Loss: 0.392 | Acc: 87.549% 
001  00208 |Loss: 0.391 | Acc: 87.579% 
001  00209 |Loss: 0.390 | Acc: 87.608% 
001  00210 |Loss: 0.389 | Acc: 87.634% 
001  00211 |Loss: 0.388 | Acc: 87.678% 
001  00212 |Loss: 0.387 | Acc: 87.710% 
001  00213 |Loss: 0.386 | Acc: 87.738% 
001  00214 |Loss: 0.384 | Acc: 87.777% 
001  00215 |Loss: 0.384 | Acc: 87.802% 
001  00216 |Loss: 0.382 | Acc: 87.844% 
001  00217 |Loss: 0.381 | Acc: 87.874% 
