001  00001 |Loss: 2.309 | Acc: 10.938% 
001  00002 |Loss: 2.303 | Acc: 9.375% 
001  00003 |Loss: 2.302 | Acc: 9.896% 
001  00004 |Loss: 2.303 | Acc: 9.375% 
001  00005 |Loss: 2.303 | Acc: 8.906% 
001  00006 |Loss: 2.304 | Acc: 9.245% 
001  00007 |Loss: 2.304 | Acc: 9.821% 
001  00008 |Loss: 2.304 | Acc: 9.668% 
001  00009 |Loss: 2.304 | Acc: 9.462% 
001  00010 |Loss: 2.305 | Acc: 9.531% 
001  00011 |Loss: 2.305 | Acc: 9.446% 
001  00012 |Loss: 2.305 | Acc: 9.440% 
001  00013 |Loss: 2.305 | Acc: 9.615% 
001  00014 |Loss: 2.305 | Acc: 9.766% 
001  00015 |Loss: 2.305 | Acc: 9.792% 
001  00016 |Loss: 2.304 | Acc: 9.814% 
001  00017 |Loss: 2.304 | Acc: 9.789% 
001  00018 |Loss: 2.304 | Acc: 9.809% 
001  00019 |Loss: 2.304 | Acc: 9.786% 
001  00020 |Loss: 2.304 | Acc: 9.766% 
001  00021 |Loss: 2.303 | Acc: 10.082% 
001  00022 |Loss: 2.303 | Acc: 10.334% 
001  00023 |Loss: 2.303 | Acc: 10.428% 
001  00024 |Loss: 2.302 | Acc: 10.579% 
001  00025 |Loss: 2.302 | Acc: 10.656% 
001  00026 |Loss: 2.302 | Acc: 11.118% 
001  00027 |Loss: 2.302 | Acc: 11.372% 
001  00028 |Loss: 2.301 | Acc: 11.719% 
001  00029 |Loss: 2.301 | Acc: 11.800% 
001  00030 |Loss: 2.301 | Acc: 12.031% 
001  00031 |Loss: 2.300 | Acc: 12.298% 
001  00032 |Loss: 2.300 | Acc: 12.329% 
001  00033 |Loss: 2.300 | Acc: 12.524% 
001  00034 |Loss: 2.299 | Acc: 12.684% 
001  00035 |Loss: 2.299 | Acc: 12.835% 
001  00036 |Loss: 2.298 | Acc: 12.934% 
001  00037 |Loss: 2.298 | Acc: 13.155% 
001  00038 |Loss: 2.297 | Acc: 13.261% 
